,Infection_Num
0,133
1,169
2,190
3,202
4,212
5,224
6,231
7,237
8,240
9,242
10,243
11,243
12,243
13,246
14,143
15,149
16,156
17,167
18,182
19,183
20,195
21,205
22,216
23,220
24,222
25,226
26,237
27,238
28,214
29,195
30,184
31,181
32,178
33,181
34,179
35,181
36,185
37,188
38,203
39,217
40,214
41,216
42,220
43,210
44,204
45,194
46,193
47,196
48,193
49,193
50,193
51,198
52,195
53,195
54,199
55,205
56,208
57,206
58,207
59,204
60,197
61,190
62,195
63,195
64,192
65,198
66,197
67,197
68,200
69,202
70,199
71,203
72,208
73,209
74,205
75,208
76,202
77,199
78,200
79,192
80,194
81,191
82,194
83,199
84,195
85,197
86,194
87,208
88,202
89,203
90,203
91,198
92,198
93,196
94,191
95,193
96,188
97,187
98,193
99,192
100,194
101,187
102,200
103,198
104,199
105,197
106,192
107,202
108,202
109,200
110,202
111,194
112,198
113,196
114,199
115,198
116,193
117,193
118,196
119,201
120,201
121,195
122,196
123,197
124,203
125,207
126,206
127,202
128,201
129,207
130,206
131,205
132,205
133,202
134,203
135,201
136,204
137,198
138,193
139,196
140,192
141,200
142,198
143,196
144,197
145,201
146,192
147,194
148,203
149,207
150,202
